Speed,AD,Fuel,Mileage,Engine,Age,Weight,AFR,ALT
0.020168284,-0.004378473,14.563695,-0.263848,-0.017584093,0.13827035,0.02077485,0.109151416,0.029667491
0.26594374,0.0035158282,-3.2751174,0.030706001,-0.34487253,0.0903017,0.034857072,0.2424954,-0.0060273306
0.02402414,0.018455967,-3.0525284,-0.0909443,-0.18621862,0.027538482,0.018053835,0.09087467,-0.018535724
-0.6530087,-0.016166987,2.5848846,1.676649,1.0038967,0.3415473,-0.044258986,-0.7502206,0.7500593
-0.053675517,0.004615653,5.37484,-0.23227103,-0.12402263,-0.0018841957,0.075775184,0.24454412,0.09830327
0.20159918,0.0037812819,3.7369044,-0.027111955,-0.14326337,0.030698486,-0.03848482,0.21339178,-0.018876595
0.11329778,0.003143509,-3.840705,0.035131093,-0.15590109,0.0042324103,-0.04288752,-0.984588,0.0255124
-0.3304184,-0.12648696,4.955636,-0.4788287,0.27430195,-0.05456144,-0.1371145,-0.7490285,-0.5606291
-0.27692795,0.2527701,2.7390816,0.022078712,-0.17841317,0.004261985,-0.036454678,-0.1517043,0.021732755
0.017683534,0.013436459,-7.716738,-0.7798125,0.24081959,-0.0010176355,-0.048250005,-0.8656487,0.017461756
0.024008965,-0.013848395,-3.3196673,0.04925686,-0.17171322,0.0022438036,0.03129145,-0.79308563,-0.005506181
-1.6198407,-0.04864256,0.39997378,0.23208095,0.5678451,0.015918834,-0.03859671,-0.36553717,-0.39628685
0.34947252,-0.0039421306,0.20290866,-0.21525402,-0.61883193,-0.004563696,0.019274065,-0.5219392,0.17210247
0.18218103,-0.00042894273,0.25068167,-0.099763826,-0.6608486,0.026019594,-0.040927943,-0.117989644,-0.007073668
0.08397289,0.0020476482,0.19241881,0.0772678,-0.2640534,0.007912839,-0.04068901,0.16170914,0.019098204
0.0640785,0.0697458,-4.2481346,-0.112448335,-0.31077534,-0.052097827,0.010952775,-0.5019295,-0.028648918
-0.019679386,0.0054368493,0.45061755,-0.011831234,-0.45869246,-0.028787462,-0.038714547,0.15841475,0.05694603
0.15960822,-0.004646595,4.9115787,-0.28738928,-0.048113797,0.0103081055,0.06866895,0.14738357,-0.073526435
0.38578963,-0.14528969,2.8568728,-0.0053596552,0.84349203,0.029331688,-0.035691157,0.23220912,0.0640437
0.39236572,-0.08894785,2.4431977,-0.86548233,0.26104048,-0.02665479,-0.038956165,0.6830638,0.0871284
-0.059799455,-0.00868753,6.741925,-0.31385115,-0.029476969,0.037731525,0.07779477,0.15146962,0.031133968
0.054782454,0.0016278067,-3.453742,0.14145043,-0.31952438,-0.019284805,-0.039824244,-0.7459918,-0.03572746
0.07887712,0.083499976,0.4733004,-0.029097445,-0.43157455,0.015872201,0.016354663,-0.14642635,-0.070073925
0.3473634,-0.038350213,6.5368824,-1.6448754,-0.5593329,-0.36897895,-0.5061939,-0.20685165,0.022001682
-0.06563988,0.005501172,1.4151696,-0.056334402,0.042059734,0.032849777,0.02246515,-0.13039026,-0.06030816
0.12437385,-0.0048559993,-8.585215,0.016220286,-0.22927418,-0.014197299,-0.026089475,-0.44338498,0.027816236
0.058425076,0.0011564392,-3.9485643,0.03807256,-0.15588278,0.0042323153,-0.04288752,-0.8025421,0.02557418
0.6777357,-0.035834096,8.026219,-0.3268039,0.29349083,0.1349623,-0.27466205,0.19631869,-0.012715354
0.020971958,-0.007248844,-2.509642,0.054074302,-0.42259282,0.015525977,-0.015514255,0.02750567,0.03318224
0.017683534,0.013436459,-7.716738,-0.7798125,0.24081959,-0.0010176355,-0.048250005,-0.8656487,0.017461756
-0.05239948,0.02322012,-0.22650124,0.32336837,1.9063869,-0.013904448,-0.04597712,-3.3699768,-0.10259441
-0.15359643,0.01869925,0.5775034,-0.007379394,-0.48140156,-0.032406766,-0.03898681,-0.047130052,0.059932675
-0.019251788,-0.00039962606,2.7559626,-0.36536056,0.24773112,-0.0010367791,0.0034977973,0.2129215,-0.092776366
-0.09821485,-0.052889675,7.9903493,-0.47014478,0.05816111,0.03066105,0.3103515,0.011202445,0.20020242
0.017034732,-2.7866477e-05,-4.6998816,0.050160833,-0.29818815,-0.03334757,-0.038946353,-0.71828836,0.0041072546
0.044253595,0.010571269,1.6064845,-0.058829676,-0.054569185,0.023079032,0.015980674,0.08537697,-0.010227121
-0.0037029325,-0.0025897343,-1.6135148,-0.039524306,-0.36963266,-0.014536578,0.032702934,-0.45139402,0.022945091
